ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2014-11-24T20:43:36Z,penguinperson77,WebPlayer (websocket RFC6455),11628,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Break the Rules,Charli xcx,Break the Rules,spotify:track:38tKqQuqodiUYOsw6HWyeQ,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:43:49Z,penguinperson77,WebPlayer (websocket RFC6455),11644,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",A Sky Full of Stars,Coldplay,A Sky Full of Stars,spotify:track:6HFbq7cewJ7rPiffV0ciil,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:44:02Z,penguinperson77,WebPlayer (websocket RFC6455),11123,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Business,Teyana Taylor,VII,spotify:track:6wAy4qNzEJM9al6w7eppeL,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:44:08Z,penguinperson77,WebPlayer (websocket RFC6455),4933,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",I Am Machine,Three Days Grace,I Am Machine,spotify:track:6LvQRDyjrsnmFVjfZPdUy4,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:44:30Z,penguinperson77,WebPlayer (websocket RFC6455),21628,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Can't Stop Dancin',Becky G,Can't Stop Dancin',spotify:track:5NetSTs4dgiR6GLrZOQcwJ,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:44:38Z,penguinperson77,WebPlayer (websocket RFC6455),7012,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Hold You Down,DJ Khaled,Hold You Down,spotify:track:3PcRAilOjaOdX6RO5MzewO,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:44:55Z,penguinperson77,WebPlayer (websocket RFC6455),16354,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Till It's Gone,Yelawolf,Till It's Gone,spotify:track:7cgLjTRoXdhmKE5Swmz32b,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:45:12Z,penguinperson77,WebPlayer (websocket RFC6455),17001,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",I Lived,OneRepublic,Native,spotify:track:7D49Iig0avHre9RFSUMkd2,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:45:29Z,penguinperson77,WebPlayer (websocket RFC6455),16094,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Can't Hold Us (feat. Ray Dalton),Macklemore,The Heist,spotify:track:3bidbhpOYeV4knp8AIu8Xn,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:46:37Z,penguinperson77,WebPlayer (websocket RFC6455),36239,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Wrapped Up (feat. Travie McCoy),Olly Murs,Wrapped Up (feat. Travie McCoy),spotify:track:6wMeMFLaD4NCxXzkXgkuM1,,,,unknown,unknown,False,0.0,False,0,False
